Model: GOKU - pendulum created with 505764 parameters.
[Epoch 575/1600]  loss = 0.3740
[Epoch 576/1600]  loss = 0.4530
[Epoch 577/1600]  loss = 0.4073
[Epoch 578/1600]  loss = 0.4129
[Epoch 579/1600]  loss = 0.4881
[Epoch 580/1600]  loss = 0.6439
[Epoch 581/1600]  loss = 0.5136
[Epoch 582/1600]  loss = 0.4690
[Epoch 583/1600]  loss = 0.3809
[Epoch 584/1600]  loss = 0.3203
[Epoch 585/1600]  loss = 0.4275
[Epoch 586/1600]  loss = 0.4270
[Epoch 587/1600]  loss = 0.5673
[Epoch 588/1600]  loss = 0.7604
[Epoch 589/1600]  loss = 0.5703
[Epoch 590/1600]  loss = 0.5760
[Epoch 591/1600]  loss = 0.5118
[Epoch 592/1600]  loss = 0.5086
[Epoch 593/1600]  loss = 0.4228
[Epoch 594/1600]  loss = 0.3953
[Epoch 595/1600]  loss = 0.3988
[Epoch 596/1600]  loss = 0.3567
[Epoch 597/1600]  loss = 0.3234
[Epoch 598/1600]  loss = 0.4787
[Epoch 599/1600]  loss = 0.5085
[Epoch 600/1600]  loss = 0.5278
[Epoch 601/1600]  loss = 0.4643
[Epoch 602/1600]  loss = 0.3967
[Epoch 603/1600]  loss = 0.4095
[Epoch 604/1600]  loss = 0.4778
[Epoch 605/1600]  loss = 0.4277
[Epoch 606/1600]  loss = 0.4109
[Epoch 607/1600]  loss = 0.3794
[Epoch 608/1600]  loss = 0.3199
[Epoch 609/1600]  loss = 0.3053
[Epoch 610/1600]  loss = 0.3348
[Epoch 611/1600]  loss = 0.4647
[Epoch 612/1600]  loss = 0.5118
[Epoch 613/1600]  loss = 0.6084
[Epoch 614/1600]  loss = 0.5973
[Epoch 615/1600]  loss = 0.6064
[Epoch 616/1600]  loss = 0.5512
[Epoch 617/1600]  loss = 0.4051
[Epoch 618/1600]  loss = 0.3340
[Epoch 619/1600]  loss = 0.3620
[Epoch 620/1600]  loss = 0.3439
[Epoch 621/1600]  loss = 0.4278
[Epoch 622/1600]  loss = 0.3334
[Epoch 623/1600]  loss = 0.2717
[Epoch 624/1600]  loss = 0.2971
[Epoch 625/1600]  loss = 0.3097
[Epoch 626/1600]  loss = 0.3474
[Epoch 627/1600]  loss = 0.4352
[Epoch 628/1600]  loss = 0.5043
[Epoch 629/1600]  loss = 0.5169
[Epoch 630/1600]  loss = 0.5425
[Epoch 631/1600]  loss = 0.5157
[Epoch 632/1600]  loss = 0.7031
[Epoch 633/1600]  loss = 0.5506
[Epoch 634/1600]  loss = 0.5797
[Epoch 635/1600]  loss = 0.5662
[Epoch 636/1600]  loss = 0.5198
[Epoch 637/1600]  loss = 0.3494
[Epoch 638/1600]  loss = 0.3469
[Epoch 639/1600]  loss = 0.2905
[Epoch 640/1600]  loss = 0.3517
[Epoch 641/1600]  loss = 0.3527
[Epoch 642/1600]  loss = 0.3399
[Epoch 643/1600]  loss = 0.3930
[Epoch 644/1600]  loss = 0.2869
[Epoch 645/1600]  loss = 0.2912
[Epoch 646/1600]  loss = 0.2710
[Epoch 647/1600]  loss = 0.3023
[Epoch 648/1600]  loss = 0.3011
[Epoch 649/1600]  loss = 0.2604
[Epoch 650/1600]  loss = 0.4824
[Epoch 651/1600]  loss = 0.3866
[Epoch 652/1600]  loss = 0.4749
[Epoch 653/1600]  loss = 0.4601
[Epoch 654/1600]  loss = 0.8070
[Epoch 655/1600]  loss = 1.0119
[Epoch 656/1600]  loss = 0.4620
[Epoch 657/1600]  loss = 0.3836
[Epoch 658/1600]  loss = 0.3595
[Epoch 659/1600]  loss = 0.4061
[Epoch 660/1600]  loss = 0.4914
